Nom Adresse,Adresse,Colonne 3,AdresseID,Préfix,Num,BisTer,TypeRue,Nom Rue,CodePostal,Ville,Cedex,Pays,AdresseForcee,AdresseRue,AdresseExacte,AdresseGeo,Parent,AdresseParentID
Action - Vandoeuvre les Nancy,"23 Bd de l'Europe, 54500 Vandœuvre-lès-Nancy",Rue,A-R-L0001,,23,,Bd,de l'Europe,54500,Vandœuvre-lès-Nancy,,France,,23 Bd de l'Europe,"23 Bd de l'Europe, 54500, Vandœuvre-lès-Nancy, France","23 Bd de l'Europe, 54500, Vandœuvre-lès-Nancy, France",Quartier - Nancy - Parc des Sports de Vandoeuvre,A-Q-L0190
AirbnB - Epinal - Téo ,"20 Avenue du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Rue,A-R-L0002,,20,,Av.,du Maréchal de Lattre de Tassigny,88000,Épinal,,France,,20 Av. du Maréchal de Lattre de Tassigny,"20 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France","20 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Quartier - Epinal - Gare,A-Q-L0163
AirBnB - Siège Social,"20 Avenue du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Rue,A-R-L0003,,888,,,Brannan St #119,,San Francisco,CA 94103,États-Unis,,888 Brannan St #119,"888 Brannan St #119, San Francisco, CA 94103, États-Unis","888 Brannan St #119, San Francisco, CA 94103, États-Unis",Quartier - San Fransisco (USA) - 4th St & King St,A-Q-L0211
AirBnb - Ventron - Pims,"18 Chemin du Rupt du Moulin, 88310 Ventron, France",Rue,A-R-L0004,,18,,Chem.,du Rupt du Moulin,88310,Ventron,,France,,18 Chem. du Rupt du Moulin,"18 Chem. du Rupt du Moulin, 88310, Ventron, France","18 Chem. du Rupt du Moulin, 88310, Ventron, France",Quartier - Ventron - Mairie,A-Q-L0217
Alptis Mutuelle - Siège Social,"25 Cours Albert Thomas, 69003, Lyon, France",Rue,A-R-L0005,,25,,Cours,Albert Thomas,69003,Lyon,,France,,25 Cours Albert Thomas,"25 Cours Albert Thomas, 69003, Lyon, France","25 Cours Albert Thomas, 69003, Lyon, France",Quartier - Lyon - Université Jean Moulin,A-Q-L0181
Amazfit - Zepp Health - Siège social,"Oost I, Edisonweg 44, 4207 HG Gorinchem, Pays-Bas",Rue,A-R-L0006,"Oost I, Edisonweg 44,",,,,4207 HG,,Gorinchem,,Pays-Bas,,"Oost I, Edisonweg 44, 4207 HG","Oost I, Edisonweg 44, 4207 HG, Gorinchem, Pays-Bas","Oost I, Edisonweg 44, 4207 HG, Gorinchem, Pays-Bas",Quartier - Gorinchem - Corbion,A-Q-L0174
Amazon France,"67 BOULEVARD du Général Leclerc, 92110 CLICHY",Rue,A-R-L0007,,67,,Bd,du Général Leclerc,92110,Clichy,,France,,67 Bd du Général Leclerc,"67 Bd du Général Leclerc, 92110, Clichy, France","67 Bd du Général Leclerc, 92110, Clichy, France",Quartier - Paris - Mairie de Clichy,A-Q-L0199
ANTAI - Amandes autoroutières - Centre de preception de Rennes,"2 ALLEE ERMENGARDE D'ANJOU, 35000 RENNES",Rue,A-R-L0008,,2,,Allée,ERMENGARDE D'ANJOU,35000,Rennes,,France,,2 Allée ERMENGARDE D'ANJOU,"2 Allée ERMENGARDE D'ANJOU, 35000, Rennes, France","2 Allée ERMENGARDE D'ANJOU, 35000, Rennes, France",Quartier - Nancy - Centre Saint Seb,A-Q-L0184
Antalya Snack - Epinal - Kebab,"4 Rue des Halles, 88000 Épinal, France",Rue,A-R-L0009,,4,,Rue,des Halles,88000,Épinal,,France,,4 Rue des Halles,"4 Rue des Halles, 88000, Épinal, France","4 Rue des Halles, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Aux delices d'antonin - Epinal,"13 Rue Général Leclerc, 88000 Épinal, France",Rue,A-R-L0010,,13,,Rue,Général Leclerc,88000,Épinal,,France,,13 Rue Général Leclerc,"13 Rue Général Leclerc, 88000, Épinal, France","13 Rue Général Leclerc, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Back market,"199 RUE CHAMPIONNET, 75018 PARIS, France",Rue,A-R-L0011,,199,,Rue,CHAMPIONNET,75018,Paris,,France,,199 Rue CHAMPIONNET,"199 Rue CHAMPIONNET, 75018, Paris, France","199 Rue CHAMPIONNET, 75018, Paris, France",Quartier - Paris - Montmartre,A-Q-L0200
Bar Vedettes - Le Bar des Vedettes - Nancy - Place des Vosges,"146 Rue Saint-Dizier,, 54000, Nancy, France",Rue,A-R-L0012,,146,,Rue,Saint-Dizier,54000,Nancy,,France,,146 Rue Saint-Dizier,"146 Rue Saint-Dizier, 54000, Nancy, France","146 Rue Saint-Dizier, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Bessons Chaussures - Epinal Jeuxey - Le saut le cerf ,"39 Rue du Saut le Cerf, 88000, Jeuxey, France",Rue,A-R-L0013,,39,,Rue,du Saut le Cerf,88000,Jeuxey,,France,,39 Rue du Saut le Cerf,"39 Rue du Saut le Cerf, 88000, Jeuxey, France","39 Rue du Saut le Cerf, 88000, Jeuxey, France",Quartier - Epinal - Le sault le cerf (Jeuxey),A-Q-L0167
Bitdefender - Siège social,"The Bridge, Orhideelor 15, Bucharest, Roumanie",Rue,A-R-L0014,"The Bridge, Orhideelor ",15,,,,,Bucharest,,Roumanie,,"The Bridge, Orhideelor  15","The Bridge, Orhideelor  15, Bucharest, Roumanie","The Bridge, Orhideelor  15, Bucharest, Roumanie",Quartier - Bucharest - Zone d'activité Commerciale,A-Q-L0160
BlaBlaCar - Siège Social,"84 Avenue de la République, 75011 Paris",Rue,A-R-L0015,,84,,Av.,de la République,75011,Paris,,France,,84 Av. de la République,"84 Av. de la République, 75011, Paris, France","84 Av. de la République, 75011, Paris, France",Quartier - Paris - Père la chaise,A-Q-L0203
BMI - Bibliothèque,"48 Rue Saint-Michel, 88000 Épinal, France",Rue,A-R-L0016,,48,,Rue,Saint-Michel,88000,Épinal,,France,,48 Rue Saint-Michel,"48 Rue Saint-Michel, 88000, Épinal, France","48 Rue Saint-Michel, 88000, Épinal, France",Quartier - Epinal - Patinoire,A-Q-L0172
Board Game Arena - BGA - siège Social,"2 Rue Kellermann, 59100, Roubaix, France",Rue,A-R-L0017,,2,,Rue,Kellermann,59100,Roubaix,,France,,2 Rue Kellermann,"2 Rue Kellermann, 59100, Roubaix, France","2 Rue Kellermann, 59100, Roubaix, France",Quartier - Roubaix - Grande Mosquée Arrahma,A-Q-L0210
Boucherie Lecompte,"15 Rue Aubert, 88000 Épinal",Rue,A-R-L0018,,15,,Rue,Aubert,88000,Épinal,,France,,15 Rue Aubert,"15 Rue Aubert, 88000, Épinal, France","15 Rue Aubert, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
