Categorie,Nature,NatureID,CategorieN0,CategorieN1,CategorieN2,CodeDuo,Index,CategorieID
Finance / Banque / Épargne,Dépense,N.DEP,Finance,Banque,Épargne,Fin.Ba,01,C.D-FIN.BA.01
Finance / Banque / Frais bancaires,Dépense,N.DEP,Finance,Banque,Frais bancaires,Fin.Ba,02,C.D-FIN.BA.02
Finance / Banque / Intérêts bancaires,Revenu,N.REV,Finance,Banque,Intérêts bancaires,Fin.Ba,03,C.R-FIN.BA.03
Finance / Banque / PCC,Dépense,N.DEP,Finance,Banque,PCC,Fin.Ba,04,C.D-FIN.BA.04
Finance / Banque / Retrait,Dépense,N.DEP,Finance,Banque,Retrait,Fin.Ba,05,C.D-FIN.BA.05
Finance / Crédits / Intérêts crédits,Dépense,N.DEP,Finance,Crédits,Intérêts crédits,Fin.Cr,01,C.D-FIN.CR.01
Finance / Crédits / Prêt auto,Revenu,N.REV,Finance,Crédits,Prêt auto,Fin.Cr,02,C.R-FIN.CR.02
Finance / Crédits / Prêt Immo,Revenu,N.REV,Finance,Crédits,Prêt Immo,Fin.Cr,03,C.R-FIN.CR.03
Finance / Crédits / Prêt Perso,Revenu,N.REV,Finance,Crédits,Prêt Perso,Fin.Cr,04,C.R-FIN.CR.04
Finance / Crédits / Remboursement Prêts Perso,Dépense,N.DEP,Finance,Crédits,Remboursement Prêts Perso,Fin.Cr,05,C.D-FIN.CR.05
Finance / Logement / Revenu Locatifs,Revenu,N.REV,Finance,Logement,Revenu Locatifs,Fin.Lo,01,C.R-FIN.LO.01
Finance / Obligations / Frais réglementaires,Dépense,N.DEP,Finance,Obligations,Frais réglementaires,Fin.Ob,01,C.D-FIN.OB.01
Finance / Obligations / Impôts,Dépense,N.DEP,Finance,Obligations,Impôts,Fin.Ob,02,C.D-FIN.OB.02
Finance / Professionnel /  Indemnité,Revenu,N.REV,Finance,Professionnel,Indemnité,Fin.Pr,01,C.R-FIN.PR.01
Finance / Professionnel /  Intéressement,Revenu,N.REV,Finance,Professionnel,Intéressement,Fin.Pr,02,C.R-FIN.PR.02
Finance / Social / Chaumage,Revenu,N.REV,Finance,Social,Chaumage,Fin.So,01,C.R-FIN.SO.01
Finance / Social / Trop Perçu (Chaumage),Dépense,N.DEP,Finance,Social,Trop Perçu (Chaumage),Fin.So,02,C.D-FIN.SO.02
Finance / Professionnel /  Prime,Revenu,N.REV,Finance,Professionnel,Prime,Fin.Pr,03,C.R-FIN.PR.03
Finance / Professionnel /  Salaire,Revenu,N.REV,Finance,Professionnel,Salaire,Fin.Pr,04,C.R-FIN.PR.04
Finance / Exceptionnel / Revenus Divers,Revenu,N.REV,Finance,Exceptionnel,Revenus Divers,Fin.Ex,01,C.R-FIN.EX.01
Finance / Exceptionnel / Héritage,Revenu,N.REV,Finance,Exceptionnel,Héritage,Fin.Ex,02,C.R-FIN.EX.02
Finance / Exceptionnel / Pertes & Profits,Revenu,N.REV,Finance,Exceptionnel,Pertes & Profits,Fin.Ex,03,C.R-FIN.EX.03
Finance / Social / CAF,Revenu,N.REV,Finance,Social,CAF,Fin.So,03,C.R-FIN.SO.03
Logement / Ameublement / Accessoires,Dépense,N.DEP,Logement,Ameublement,Accessoires,Log.Am,01,C.D-LOG.AM.01
