ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2024-05-18-0-001,18/05/2024,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"2 160,00 €",N/A,18/05/2025,,Réglé,Finance / Obligations / Frais réglementaires,C.D-FIN.OB.01,Mtre Audineau Avocate,T#TT-SER-SE-SER#250101#MTRE_AUDINEAU_A,Reglement Avocat,Ju. Affaires,P#2025JU_AFFAIRE
2025-05-21-0-003,21/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"154,90 €",N/A,,,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Monsieur Telephone - Magasin Ludres,T#TT-COM-SP-ÉLE#250101#MONSIEUR_TELEPH,tel + coque,Telephone,P#2025TELEPHONE_
2025-05-21-0-002,21/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"20,00 €",N/A,,,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Electro Depot - Magasin Houdemont Nancy,T#TT-COM-SP-ÉLE#250101#ELECTRO_DEPOT__,casque,Pc Portable,P#2025PC_PORTABL
2025-05-21-0-001,21/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"10,00 €",N/A,,,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Magasin Intermarche - Ludres Nancy,T#TT-COM-DI-SUP#250101#MAGASIN_INTERMA,,Papy Villers,P#2025PAPY_VILLE
2025-05-26-0-001,26/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,00 €",N/A,,,Réglé,Santé & Bien-être / Santé / Soins,C.D-SAN.SA.05,Dr Jullière Guy - Généraliste (MT) - Nancy,T#TT-PUB-SA-MÉD#250101#DR_JULLIRE_GUY_,part mutuelle (perdue),,
2025-05-27-0-006,27/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"2 420,00 €",Oui,27/05/2025,05/06/2025,Réglé,Finance / Professionnel /  Indemnité,C.R-FIN.PR.01,CPBourg,T#TT-SER-TR-EMP#250101#CPBOURG______,,,
2025-05-27-0-005,27/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"2 160,00 €",Oui,18/05/2025,05/06/2025,Réglé,Finance / Crédits / Prêt Perso,C.R-FIN.CR.04,Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,,Ju. Affaires,P#2025JU_AFFAIRE
2025-05-27-0-004,27/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"5,70 €",N/A,,,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,Stan Transport en commun  Nancéens ,T#TT-MOB-IN-TRA#250101#STAN_TRANSPORT_,,Papy Villers,P#2025PAPY_VILLE
2025-05-27-0-003,27/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"30,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Adhésion association,C.D-SAN.LO.01,La Feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,Abonnement La feinte,Jeux de Société,P#2025JEUX_DE_SO
2025-05-27-0-002,27/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"5,10 €",N/A,,,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,Stan Transport en commun  Nancéens ,T#TT-MOB-IN-TRA#250101#STAN_TRANSPORT_,,Papy Villers,P#2025PAPY_VILLE
2025-05-27-0-001,27/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"6,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Chicken Street - Magasin Nancy,T#TT-COM-RE-RES#250101#CHICKEN_STREET_,,Jeux de Société,P#2025JEUX_DE_SO
2025-05-28-1-001,28/05/2025,Banque,PTF#BA#BANQ#BAN,Transfert & Retraits,FCT.MV-TF,,"750,00 €",,,,Dû,Finance / Banque / PCC,C.D-FIN.BA.04,PCC,T#TT-SER-TR-PER#250101#PCC______,,Ju. Affaires,P#2025JU_AFFAIRE
2025-05-28-0-003,28/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Tacos One  - Magasin Nancy,T#TT-COM-RE-RES#250101#TACOS_ONE___MAG,,Jeux de Société,P#2025JEUX_DE_SO
2025-05-28-0-002,28/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"3,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,C.D-SAN.LO.03,La feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,,Jeux de Société,P#2025JEUX_DE_SO
2025-05-28-0-001,28/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"3,40 €",N/A,,,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,Stan Transport en commun  Nancéens ,T#TT-MOB-IN-TRA#250101#STAN_TRANSPORT_,,Papy Villers,P#2025PAPY_VILLE
2025-05-30-0-006,30/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-07031178542710987,"39,58 €",Oui,03/06/2025,05/06/2025,Réglé,Quotidien / Mode / Vêtements ,C.D-QUO.MO.04,Temu,T#TT-COM-NU-INT#250101#TEMU______,2 lots de 4 polos,,
2025-05-30-0-005,30/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-07031178542710987,"9,38 €",Oui,03/06/2025,05/06/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,A short de bain + lot de 4 boxer,,
2025-05-30-0-004,30/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-07031178542710987,"2,09 €",Oui,03/06/2025,05/06/2025,Réglé,"Quotidien /  Mode / Sac, Ceintures",C.D-QUO.MO.02,Temu,T#TT-COM-NU-INT#250101#TEMU______,Ceinture,,
2025-05-30-0-003,30/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-07031301432950987,"2,16 €",Oui,03/06/2025,05/06/2025,Réglé,Quotidien / Cadeaux / Cadeaux Famille,C.D-QUO.CA.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-05-30-0-002,30/05/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-07031301432950987,"18,88 €",Oui,03/06/2025,05/06/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,Lot Boxer + Lot slip + Short de bain,,
2025-05-30-0-001,30/05/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"3,50 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,C.D-SAN.LO.03,La feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,,Jeux de Société,P#2025JEUX_DE_SO
2025-06-03-0-004,03/06/2025,Banque,PTF#BA#BANQ#BAN,Transfert & Retraits,FCT.MV-TF,,"20,00 €",Oui,05/06/2025,05/06/2025,Réglé,Finance / Banque / Retrait,C.D-FIN.BA.05,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-06-03-0-003,03/06/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"699,95 €",Oui,05/06/2025,05/06/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,LDLC - Nancy,T#TT-COM-SP-ÉLE#250101#LDLC__NANCY____,,Pc Portable,P#2025PC_PORTABL
