TexteRecherche,TiersID,TypeTiersID,NomCode,DateCode,Type,Nom,Adresse,AdresseID,DateCreation,DateCloture,PortefeuilleID
A un point Près - MTL - Heillecourt,T#TT-PUB-CO-ASS#250913#A_UN_POINT_PRS_,TT-PUB-CO-ASS,A_UN_POINT_PRS_,250913,Public & Assimilé / Collectif / Association,A un point Près,MTL Maison du Temps Libre - Heilliecourt,A-R-L0128,13/09/2025,,
Action - Vandoeuvre Les Nancy,T#TT-COM-DI-SUP#991230#ACTION__VANDOEU,TT-COM-DI-SUP,ACTION__VANDOEU,991230,Commerce & Activité / Distribution / Supermarché,Action (Vandoeuvre),Action - Vandoeuvre les Nancy,A-R-L0001,,,
"Agglo d""Epinal",T#TT-PUB-SE-COL#250901#AGGLO_DEPINAL__,TT-PUB-SE-COL,AGGLO_DEPINAL__,250901,Public & Assimilé / Service public / Collectivités (Ville & Agglo),Agglo d'Epinal,Siège Agglo Epinal,A-R-L0242,01/09/2025,,
AirBnB,T#TT-COM-NU-INT#250719#AIRBNB______,TT-COM-NU-INT,AIRBNB______,250719,Commerce & Activité / Numérique / Internet (Site marchant),AirBnB,AirBnB - Siège Social,A-R-L0003,19/07/2025,,
AirbnB - Epinal - Téo ,T#TT-SER-IM-PRO#250719#AIRBNB__EPINAL_,TT-SER-IM-PRO,AIRBNB__EPINAL_,250719,Services & Support / Immobilier / Propriétaire,Téo (loc AirBnB Epinal),AirbnB - Epinal - Téo ,A-R-L0002,19/07/2025,,
Amazfit - Zepp Health,T#TT-COM-SP-SPO#991230#AMAZFIT__ZEPP_H,TT-COM-SP-SPO,AMAZFIT__ZEPP_H,991230,Commerce & Activité / Spécialisé / Sport,Amazfit - Zepp Health,Amazfit - Zepp Health - Siège social,A-R-L0006,,,
AirBnb - Ventron - Pims,T#TT-SER-IM-PRO#251001#AIRBNB__VENTRON,TT-SER-IM-PRO,AIRBNB__VENTRON,251001,Services & Support / Immobilier / Propriétaire,Pims (Loc Air BnB Ventron),AirBnb - Ventron - Pims,A-R-L0004,01/10/2025,,
Alptis - Mutuelle santé,T#TT-PUB-SA-MUT#250721#ALPTIS__MUTUELL,TT-PUB-SA-MUT,ALPTIS__MUTUELL,250721,Public & Assimilé / Santé / Mutuelle,Alptis Mutuelle,Alptis Mutuelle - Siège Social,A-R-L0005,21/07/2025,,
Pizzeria Sole Mio - Nancy,T#TT-COM-RE-RES#991230#PIZZERIA_SOLE_M,TT-COM-RE-RES,PIZZERIA_SOLE_M,991230,Commerce & Activité / Restauration / Restaurant,Pizzeria Sole Mio,Pizzeria Sole Mio - Nancy,A-Q-L0150,,,
Le Palais - Nancy,T#TT-COM-RE-RES#991230#LE_PALAIS__NANC,TT-COM-RE-RES,LE_PALAIS__NANC,991230,Commerce & Activité / Restauration / Restaurant,Le Palais,EVA Nancy - Bar & Annimation,A-R-L0065,,,
My Bears - Essey Les Nancy,T#TT-COM-RE-BAR#991230#MY_BEARS__ESSEY,TT-COM-RE-BAR,MY_BEARS__ESSEY,991230,Commerce & Activité / Restauration / Bar & Café,My Bears - Essey,My Beers Nancy - Essey,A-R-L0130,,,
Michez Jean-Marc - Boulangerie,T#TT-COM-RE-BOU#991230#MICHEZ_JEANMARC,TT-COM-RE-BOU,MICHEZ_JEANMARC,991230,Commerce & Activité / Restauration / Boulangerie,Michez Jean-Marc - Boulangerie,Michez Jean-Marc - Boulangerie,A-R-L0120,,,
Amazon - France,T#TT-COM-NU-INT#251012#AMAZON__FRANCE_,TT-COM-NU-INT,AMAZON__FRANCE_,251012,Commerce & Activité / Numérique / Internet (Site marchant),Amazon,Amazon France,A-R-L0007,12/10/2025,,
Amine,T#TT-SER-TR-PER#251101#AMINE______,TT-SER-TR-PER,AMINE______,251101,Services & Support / Travail & Ressource / Personne physique,Amine,"Famille Paydas (Fanny / Fafa, Amine & Ritej)",A-R-L0067,01/11/2025,,
